year,state,property_damage
2021,Arkansas,5.00K
2021,Tennessee,15.00K
2021,Vermont,2.00K
2021,Wisconsin,1.00K
2021,Tennessee,5.00K
2021,Tennessee,10.00K
2021,Tennessee,5.00K
2021,Tennessee,1.00K
2021,Tennessee,10.00K
2021,Tennessee,3.00K
2021,Tennessee,3.00K
2021,Tennessee,5.00K
2021,Tennessee,5.00K
2021,Tennessee,15.00K
2021,Tennessee,5.00K
2021,Tennessee,10.00K
2021,Tennessee,10.00K
2021,Tennessee,10.00K
2021,Tennessee,15.00K
2021,Tennessee,10.00K
2021,Alabama,0.20K
2021,Vermont,5.00K
2021,Vermont,2.00K
2021,Alabama,0.20K
2021,Alabama,0.20K
2021,Alabama,0.20K
2021,Alabama,0.20K
2021,New Mexico,1.00K
2021,Louisiana,2.50K
2021,Vermont,20.00K
2021,Arizona,100.00K
2021,Colorado,50.00K
2021,Utah,1.50M
2021,Colorado,500.00K
2021,Louisiana,100.00K
2021,Nevada,800.00K
2021,Vermont,10.00K
2021,Mississippi,2.00K
2021,North Carolina,1.00K
2021,Pennsylvania,5.00K
2021,Pennsylvania,3.00K
2021,Florida,5.00K
2021,Tennessee,1.00K
2021,Pennsylvania,5.00K
2021,Pennsylvania,10.00K
2021,Pennsylvania,5.00K
2021,South Carolina,10.00K
2021,Alabama,10.00K
2021,Arkansas,15.00K
2021,Alabama,5.00K
2021,North Carolina,10.00K
2021,Georgia,200.00K
2021,North Carolina,5.00K
2021,Arkansas,2.00K
2021,Arkansas,60.00K
2021,Missouri,35.00K
2021,North Carolina,50.00K
2021,North Carolina,100.00K
2021,Georgia,1.00K
2021,Missouri,50.00K
2021,Tennessee,50.00K
2021,North Carolina,5.00K
2021,North Carolina,5.00K
2021,North Carolina,40.00K
2021,South Carolina,20.00K
2021,North Carolina,10.00K
2021,North Carolina,5.00K
2021,North Carolina,100.00K
2021,North Carolina,10.00K
2021,South Carolina,10.00K
2021,South Carolina,10.00K
2021,South Carolina,10.00K
2021,North Carolina,250.00K
2021,North Carolina,1.00K
2021,North Carolina,1.00M
2021,North Carolina,100.00K
2021,North Carolina,1.00K
2021,South Carolina,5.00K
2021,North Carolina,10.00K
2021,North Carolina,0.50K
2021,South Carolina,10.00K
2021,Georgia,1.00K
2021,South Carolina,7.00K
2021,North Carolina,150.00K
2021,South Carolina,100.00K
2021,South Carolina,20.00K
2021,Ohio,3.00K
2021,Ohio,4.00K
2021,Ohio,5.00K
2021,Ohio,20.00K
2021,Indiana,4.00K
2021,Indiana,25.00K
2021,Indiana,2.00K
2021,Ohio,8.00K
2021,Indiana,5.00K
2021,Indiana,0.50K
2021,Indiana,5.00K
2021,Indiana,4.00K
2021,Indiana,5.00K
2021,Ohio,10.00K
2021,Ohio,3.00K
2021,Ohio,3.00K
2021,Ohio,3.00K
2021,Ohio,3.00K
2021,Kentucky,30.00K
2021,Kentucky,3.00K
2021,Kentucky,5.00K
2021,Ohio,10.00K
2021,Ohio,10.00K
2021,Ohio,1.00K
2021,Ohio,1.00K
2021,Ohio,0.25K
2021,Ohio,1.00K
2021,Indiana,2.00K
2021,Ohio,3.00K
2021,Ohio,1.00K
2021,Ohio,6.00K
2021,Ohio,3.00K
2021,Missouri,2.00K
2021,Mississippi,2.00K
2021,New Jersey,1.00K
2021,New Jersey,1.00K
2021,Connecticut,3.00K
2021,New York,1.00K
2021,Mississippi,10.00K
2021,Indiana,1.00K
2021,Indiana,1.00K
2021,Indiana,3.00K
2021,Ohio,3.00K
2021,Ohio,1.00K
2021,Ohio,4.00K
2021,Ohio,3.00K
2021,Kentucky,1.00K
2021,Ohio,3.00K
2021,Georgia,2.00K
2021,North Carolina,200.00K
2021,Mississippi,20.00K
2021,Wisconsin,80.00K
2021,New Jersey,4.00K
2021,Mississippi,25.00K
2021,Wisconsin,75.00K
2021,Mississippi,31.00K
2021,Mississippi,25.00K
2021,Tennessee,50.00K
2021,Vermont,15.00K
2021,New York,5.00K
2021,New York,5.00K
2021,New York,5.00K
2021,Tennessee,1.00K
2021,Vermont,10.00K
2021,Mississippi,5.00K
2021,Mississippi,2.00K
2021,Vermont,15.00K
2021,Mississippi,2.00K
2021,Mississippi,40.00K
2021,Mississippi,10.00K
2021,Mississippi,2.00K
2021,Arkansas,2.00K
2021,Kentucky,10.00K
2021,Indiana,10.00K
2021,Kentucky,5.00K
2021,Kentucky,3.00K
2021,Kentucky,3.00K
2021,Ohio,10.00K
2021,Ohio,30.00K
2021,Ohio,1.00K
2021,Ohio,1.00M
2021,Ohio,50.00K
2021,New York,2.00K
2021,Vermont,2.00K
2021,Indiana,25.00K
2021,Indiana,10.00K
2021,Indiana,50.00K
2021,Indiana,20.00K
2021,Indiana,50.00K
2021,Indiana,50.00K
2021,Indiana,10.00K
2021,Arizona,50.00K
2021,Tennessee,5.00K
2021,Tennessee,1.00K
2021,Tennessee,5.00K
2021,Tennessee,15.00K
2021,Florida,1.00K
2021,Missouri,1.00K
2021,Iowa,6.00K
2021,Kansas,2.00M
2021,Mississippi,50.00K
2021,Missouri,1.00K
2021,Mississippi,50.00K
2021,Missouri,1.00K
2021,New Mexico,500.00K
2021,Ohio,1.00K
2021,Kentucky,20.00K
2021,Florida,10.00K
2021,Texas,5.00K
2021,Alabama,1.00K
2021,Kentucky,15.00K
2021,Tennessee,25.00K
2021,Tennessee,500.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Tennessee,2.00M
2021,Indiana,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Indiana,1.00K
2021,Indiana,1.00K
2021,Indiana,1.00K
2021,Indiana,1.00K
2021,Indiana,1.00K
